Ticker,MthCalDt,MthPrc
HON,20181231,132.12
HON,20190131,143.63
HON,20190228,154.07
HON,20190329,158.92
HON,20190430,173.63
HON,20190531,164.31
HON,20190628,174.59
HON,20190731,172.46
HON,20190830,164.62
HON,20190930,169.2
HON,20191031,172.73
HON,20191129,178.55
HON,20191231,177
HON,20200131,173.22
HON,20200228,162.17
HON,20200331,133.79
HON,20200430,141.9
HON,20200529,145.85
HON,20200630,144.59
HON,20200731,149.37
HON,20200831,165.55
HON,20200930,164.61
HON,20201030,164.95
HON,20201130,203.92
HON,20201231,212.7
HON,20210129,195.37
HON,20210226,202.35
HON,20210331,217.07
HON,20210430,223.04
HON,20210528,230.91
HON,20210630,219.35
HON,20210730,233.79
HON,20210831,231.91
HON,20210930,212.28
HON,20211029,218.62
HON,20211130,202.24
HON,20211231,208.51
HON,20220131,204.48
HON,20220228,189.75
HON,20220331,194.58
AMRC,20120131,13.11
AMRC,20120229,14.09
AMRC,20120330,13.55
AMRC,20120430,12.19
AMRC,20120531,10.75
AMRC,20120629,11.93
AMRC,20120731,12.16
AMRC,20120831,12.01
AMRC,20120928,11.81
AMRC,20121031,11.06
AMRC,20121130,9.4
AMRC,20121231,9.81
AMRC,20130131,9.84
AMRC,20130228,8.31
AMRC,20130328,7.4
AMRC,20130430,7.37
AMRC,20130531,8.26
AMRC,20130628,9.01
AMRC,20130731,9.14
AMRC,20130830,8.56
AMRC,20130930,10.02
AMRC,20131031,10.46
AMRC,20131129,9.18
AMRC,20131231,9.66
AMRC,20140131,9.86
AMRC,20140228,10.26
AMRC,20140331,7.56
AMRC,20140430,6.41
AMRC,20140530,6.55
AMRC,20140630,7.03
AMRC,20140731,7.52
AMRC,20140829,8.41
AMRC,20140930,6.85
AMRC,20141031,8.24
AMRC,20141128,7.71
AMRC,20141231,7
AMRC,20150130,5.83
AMRC,20150227,6.26
AMRC,20150331,7.4
AMRC,20150430,6.72
AMRC,20150529,7.26
AMRC,20150630,7.65
AMRC,20150731,6.9
AMRC,20150831,5.67
AMRC,20150930,5.88
AMRC,20151030,6.48
AMRC,20151130,6.83
AMRC,20151231,6.25
AMRC,20160129,5.45
AMRC,20160229,5.14
AMRC,20160331,4.77
AMRC,20160429,4.47
AMRC,20160531,4.68
AMRC,20160630,4.37
AMRC,20160729,4.95
AMRC,20160831,4.78
AMRC,20160930,5.26
AMRC,20161031,4.8
AMRC,20161130,5.95
AMRC,20161230,5.5
AMRC,20170131,5.2
AMRC,20170228,5.05
AMRC,20170331,6.55
AMRC,20170428,6.45
AMRC,20170531,6.9
AMRC,20170630,7.7
AMRC,20170731,6.55
AMRC,20170831,7.25
AMRC,20170929,7.8
AMRC,20171031,7.7
AMRC,20171130,8.5
AMRC,20171229,8.6
AMRC,20180131,8.7
AMRC,20180228,8.15
AMRC,20180329,13
AMRC,20180430,11.85
AMRC,20180531,11.95
AMRC,20180629,12
AMRC,20180731,13.4
AMRC,20180831,14.35
AMRC,20180928,13.65
AMRC,20181031,16.37
AMRC,20181130,15.72
AMRC,20181231,14.1
AMRC,20190131,14.93
AMRC,20190228,16.37
AMRC,20190329,16.18
AMRC,20190430,15.06
AMRC,20190531,14.5
AMRC,20190628,14.73
AMRC,20190731,14.25
AMRC,20190830,14.4
AMRC,20190930,16.07
AMRC,20191031,14.74
AMRC,20191129,16.35
AMRC,20191231,17.5
AMRC,20200131,19.19
AMRC,20200228,22.54
AMRC,20200331,17.03
AMRC,20200430,18.06
AMRC,20200529,21.46
AMRC,20200630,27.78
AMRC,20200731,27.68
AMRC,20200831,34.14
AMRC,20200930,33.4
AMRC,20201030,38.39
AMRC,20201130,44.55
AMRC,20201231,52.24
AMRC,20210129,56.09
AMRC,20210226,57.12
AMRC,20210331,48.63
AMRC,20210430,52.79
AMRC,20210528,53.76
AMRC,20210630,62.72
AMRC,20210730,68.53
AMRC,20210831,69.15
AMRC,20210930,58.43
AMRC,20211029,82.13
AMRC,20211130,90.33
AMRC,20211231,81.44
AMRC,20220131,50.61
AMRC,20220228,64.25
AMRC,20220331,79.5
BWXT,20120131,24.85
BWXT,20120229,25.74
BWXT,20120330,25.75
BWXT,20120430,24.6
BWXT,20120531,24.65
BWXT,20120629,24.5
BWXT,20120731,25.1
BWXT,20120831,24.67
BWXT,20120928,25.47
BWXT,20121031,25.77
BWXT,20121130,25.19
BWXT,20121231,26.2
BWXT,20130131,26.64
BWXT,20130228,27.02
BWXT,20130328,28.41
BWXT,20130430,27.2
BWXT,20130531,29.68
BWXT,20130628,30.03
BWXT,20130731,30.54
BWXT,20130830,30.99
BWXT,20130930,33.72
BWXT,20131031,32.21
BWXT,20131129,32.47
BWXT,20131231,34.19
BWXT,20140131,34.28
BWXT,20140228,32.96
BWXT,20140331,33.2
BWXT,20140430,34.79
BWXT,20140530,32.32
BWXT,20140630,32.46
BWXT,20140731,31.04
BWXT,20140829,29.05
BWXT,20140930,27.69
BWXT,20141031,28.6
BWXT,20141128,29.63
BWXT,20141231,30.3
BWXT,20150130,27.23
BWXT,20150227,31.04
BWXT,20150331,32.09
BWXT,20150430,32.32
BWXT,20150529,33.29
BWXT,20150630,32.8
BWXT,20150731,24.56
BWXT,20150831,26.52
BWXT,20150930,26.36
BWXT,20151030,28.3
BWXT,20151130,30.45
BWXT,20151231,31.77
BWXT,20160129,29.94
BWXT,20160229,31.9
BWXT,20160331,33.56
BWXT,20160429,33.39
BWXT,20160531,35.17
BWXT,20160630,35.77
BWXT,20160729,36.81
BWXT,20160831,38.81
BWXT,20160930,38.37
BWXT,20161031,39.22
BWXT,20161130,39.16
BWXT,20161230,39.7
BWXT,20170131,41.49
BWXT,20170228,46.44
BWXT,20170331,47.6
BWXT,20170428,49.17
BWXT,20170531,48.6
BWXT,20170630,48.75
BWXT,20170731,52.68
BWXT,20170831,54.72
BWXT,20170929,56.02
BWXT,20171031,59.92
BWXT,20171130,62.45
BWXT,20171229,60.49
BWXT,20180131,63.44
BWXT,20180228,62.96
BWXT,20180329,63.53
BWXT,20180430,67.8
BWXT,20180531,66.74
BWXT,20180629,62.32
BWXT,20180731,65.76
BWXT,20180831,61.32
BWXT,20180928,62.54
BWXT,20181031,58.46
BWXT,20181130,45.22
BWXT,20181231,38.23
BWXT,20190131,46.42
BWXT,20190228,52.35
BWXT,20190329,49.58
BWXT,20190430,51.1
BWXT,20190531,46.54
BWXT,20190628,52.1
BWXT,20190731,53.91
BWXT,20190830,59.2
BWXT,20190930,57.21
BWXT,20191031,58.1
BWXT,20191129,60.13
BWXT,20191231,62.08
BWXT,20200131,63.59
BWXT,20200228,54.84
BWXT,20200331,48.71
BWXT,20200430,53.06
BWXT,20200529,62.57
BWXT,20200630,56.64
BWXT,20200731,54.52
BWXT,20200831,55.61
BWXT,20200930,56.31
BWXT,20201030,55.01
BWXT,20201130,56.88
BWXT,20201231,60.28
BWXT,20210129,53.92
BWXT,20210226,58.01
BWXT,20210331,65.94
BWXT,20210430,66.92
BWXT,20210528,62.54
BWXT,20210630,58.12
BWXT,20210730,57.43
BWXT,20210831,57.43
BWXT,20210930,53.86
BWXT,20211029,56.74
