Ticker,MthCalDt,MthPrc
BWXT,20180731,65.76
BWXT,20180831,61.32
BWXT,20180928,62.54
BWXT,20181031,58.46
BWXT,20181130,45.22
BWXT,20181231,38.23
BWXT,20190131,46.42
BWXT,20190228,52.35
BWXT,20190329,49.58
BWXT,20190430,51.1
BWXT,20190531,46.54
BWXT,20190628,52.1
BWXT,20190731,53.91
BWXT,20190830,59.2
BWXT,20190930,57.21
BWXT,20191031,58.1
BWXT,20191129,60.13
BWXT,20191231,62.08
BWXT,20200131,63.59
BWXT,20200228,54.84
BWXT,20200331,48.71
BWXT,20200430,53.06
BWXT,20200529,62.57
BWXT,20200630,56.64
BWXT,20200731,54.52
BWXT,20200831,55.61
BWXT,20200930,56.31
BWXT,20201030,55.01
BWXT,20201130,56.88
BWXT,20201231,60.28
BWXT,20210129,53.92
BWXT,20210226,58.01
BWXT,20210331,65.94
BWXT,20210430,66.92
BWXT,20210528,62.54
BWXT,20210630,58.12
BWXT,20210730,57.43
BWXT,20210831,57.43
BWXT,20210930,53.86
BWXT,20211029,56.74
BWXT,20211130,47.7
BWXT,20211231,47.88
BWXT,20220131,44.51
BWXT,20220228,53.42
BWXT,20220331,53.86
INDB,20170131,62.35
INDB,20170228,65
INDB,20170331,65
INDB,20170428,63.3
INDB,20170531,60.45
INDB,20170630,66.65
INDB,20170731,71.35
INDB,20170831,69.3
INDB,20170929,74.65
INDB,20171031,72.1
INDB,20171130,72.7
INDB,20171229,69.85
INDB,20180131,71.35
INDB,20180228,69.4
INDB,20180329,71.55
INDB,20180430,72.3
INDB,20180531,78.35
INDB,20180629,78.4
INDB,20180731,88.4
INDB,20180831,91.1
INDB,20180928,82.6
INDB,20181031,78.45
INDB,20181130,80.37
INDB,20181231,70.31
INDB,20190131,79.78
INDB,20190228,85.13
INDB,20190329,81.01
INDB,20190430,80.23
INDB,20190531,69.35
INDB,20190628,76.15
INDB,20190731,77.76
INDB,20190830,67.61
INDB,20190930,74.65
INDB,20191031,82.08
INDB,20191129,84.2
INDB,20191231,83.25
INDB,20200131,72.2
INDB,20200228,67.53
INDB,20200331,64.37
INDB,20200430,72.89
INDB,20200529,69.47
INDB,20200630,67.09
INDB,20200731,64.52
INDB,20200831,62.85
INDB,20200930,52.38
INDB,20201030,57.29
INDB,20201130,67.64
INDB,20201231,73.04
INDB,20210129,75.08
INDB,20210226,85.51
INDB,20210331,84.19
INDB,20210430,81.9
INDB,20210528,81.61
INDB,20210630,75.5
INDB,20210730,70.68
INDB,20210831,76.7
INDB,20210930,76.15
INDB,20211029,84.5
INDB,20211130,79.06
INDB,20211231,81.53
INDB,20220131,84.35
INDB,20220228,86.01
INDB,20220331,81.69
CLDX,20170131,3.26
CLDX,20170228,3.54
CLDX,20170331,3.61
CLDX,20170428,3.33
CLDX,20170531,2.83
CLDX,20170630,2.47
CLDX,20170731,2.29
CLDX,20170831,2.46
CLDX,20170929,2.86
CLDX,20171031,2.44
CLDX,20171130,3
CLDX,20171229,2.84
CLDX,20180131,2.76
CLDX,20180228,2.25
CLDX,20180329,2.33
CLDX,20180430,0.74
CLDX,20180531,0.5802
CLDX,20180629,0.5036
CLDX,20180731,0.465
CLDX,20180831,0.502
CLDX,20180928,0.451
CLDX,20181031,0.3145
CLDX,20181130,0.2986
CLDX,20181231,0.1979
CLDX,20190131,0.5078
CLDX,20190228,5.32
CLDX,20190329,4.92
CLDX,20190430,3.66
CLDX,20190531,3.04
CLDX,20190628,2.68
CLDX,20190731,2.18
CLDX,20190830,2.12
CLDX,20190930,2.13
CLDX,20191031,2.24
CLDX,20191129,2.4
CLDX,20191231,2.23
CLDX,20200131,2.315
CLDX,20200228,2.63
CLDX,20200331,1.66
CLDX,20200430,2.45
CLDX,20200529,2.67
CLDX,20200630,13
CLDX,20200731,10.29
CLDX,20200831,11.94
CLDX,20200930,14.83
CLDX,20201030,15.84
CLDX,20201130,22.5
CLDX,20201231,17.52
CLDX,20210129,21.62
CLDX,20210226,27.08
CLDX,20210331,20.6
CLDX,20210430,30.33
CLDX,20210528,27.95
CLDX,20210630,33.44
CLDX,20210730,43.75
CLDX,20210831,52.65
CLDX,20210930,53.99
CLDX,20211029,42.54
CLDX,20211130,38.1
CLDX,20211231,38.64
CLDX,20220131,31.01
CLDX,20220228,29.9
CLDX,20220331,34.06
BCPC,20170131,85.24
BCPC,20170228,87.17
BCPC,20170331,82.42
BCPC,20170428,81.16
BCPC,20170531,78.72
BCPC,20170630,77.71
BCPC,20170731,77.6
BCPC,20170831,74.96
BCPC,20170929,81.29
BCPC,20171031,84.29
BCPC,20171130,87.27
BCPC,20171229,80.6
BCPC,20180131,79
BCPC,20180228,75.25
BCPC,20180329,81.75
BCPC,20180430,88.24
BCPC,20180531,96.43
BCPC,20180629,98.14
BCPC,20180731,100.29
BCPC,20180831,110.89
BCPC,20180928,112.09
BCPC,20181031,93.65
BCPC,20181130,86.7
BCPC,20181231,78.35
BCPC,20190131,83.02
BCPC,20190228,88.73
BCPC,20190329,92.8
BCPC,20190430,101.51
BCPC,20190531,90.69
BCPC,20190628,99.97
BCPC,20190731,102.64
BCPC,20190830,88.79
BCPC,20190930,99.19
BCPC,20191031,101.21
BCPC,20191129,99.63
BCPC,20191231,101.63
BCPC,20200131,108.02
BCPC,20200228,94.46
BCPC,20200331,98.72
BCPC,20200430,89.24
BCPC,20200529,100.65
BCPC,20200630,94.86
BCPC,20200731,100.26
BCPC,20200831,97.7
BCPC,20200930,97.63
BCPC,20201030,99.95
BCPC,20201130,103.69
BCPC,20201231,115.22
BCPC,20210129,107.03
BCPC,20210226,119.36
BCPC,20210331,125.41
BCPC,20210430,127.19
BCPC,20210528,131
BCPC,20210630,131.26
BCPC,20210730,134.89
BCPC,20210831,140.42
BCPC,20210930,145.07
BCPC,20211029,153.09
BCPC,20211130,158
BCPC,20211231,168.6
BCPC,20220131,146.94
BCPC,20220228,138.34
BCPC,20220331,136.7
WERN,20170131,28.1
WERN,20170228,28
WERN,20170331,26.2
WERN,20170428,27.3
WERN,20170531,27.25
WERN,20170630,29.35
WERN,20170731,29.65
WERN,20170831,33.1
WERN,20170929,36.55
WERN,20171031,35.65
WERN,20171130,38.2
WERN,20171229,38.65
WERN,20180131,40.7
WERN,20180228,37.25
WERN,20180329,36.5
WERN,20180430,34.3
WERN,20180531,39.2
WERN,20180629,37.55
WERN,20180731,37.25
WERN,20180831,37.05
WERN,20180928,35.35
WERN,20181031,32.19
WERN,20181130,33.86
WERN,20181231,29.54
WERN,20190131,32.92
WERN,20190228,34.53
WERN,20190329,34.15
WERN,20190430,33.5
WERN,20190531,27.88
WERN,20190628,31.08
WERN,20190731,33.15
WERN,20190830,32.68
WERN,20190930,35.3
WERN,20191031,36.5
WERN,20191129,36.76
WERN,20191231,36.39
WERN,20200131,36.86
WERN,20200228,33.6
WERN,20200331,36.26
WERN,20200430,40.12
WERN,20200529,46.22
WERN,20200630,43.53
WERN,20200731,43.985
WERN,20200831,46.01
WERN,20200930,41.99
WERN,20201030,38.02
WERN,20201130,39.99
WERN,20201231,39.22
WERN,20210129,39.24
WERN,20210226,42.92
WERN,20210331,47.17
WERN,20210430,46.23
WERN,20210528,47.99
WERN,20210630,44.52
WERN,20210730,45.71
WERN,20210831,47.16
WERN,20210930,44.27
WERN,20211029,45.32
WERN,20211130,45.11
WERN,20211231,47.66
WERN,20220131,44.59
WERN,20220228,43.46
WERN,20220331,41
ADM,20170131,44.26
ADM,20170228,46.97
ADM,20170331,46.04
ADM,20170428,45.75
ADM,20170531,41.58
ADM,20170630,41.38
ADM,20170731,42.18
ADM,20170831,41.32
ADM,20170929,42.51
ADM,20171031,40.87
ADM,20171130,39.88
ADM,20171229,40.08
ADM,20180131,42.95
ADM,20180228,41.52
ADM,20180329,43.37
ADM,20180430,45.38
ADM,20180531,43.72
ADM,20180629,45.83
ADM,20180731,48.26
ADM,20180831,50.4
ADM,20180928,50.27
ADM,20181031,47.25
ADM,20181130,46.02
ADM,20181231,40.97
ADM,20190131,44.9
ADM,20190228,42.5
ADM,20190329,43.13
ADM,20190430,44.6
ADM,20190531,38.32
ADM,20190628,40.8
ADM,20190731,41.08
ADM,20190830,38.05
ADM,20190930,41.07
ADM,20191031,42.04
ADM,20191129,42.93
ADM,20191231,46.35
ADM,20200131,44.76
ADM,20200228,37.65
ADM,20200331,35.18
ADM,20200430,37.14
ADM,20200529,39.31
ADM,20200630,39.9
ADM,20200731,42.83
ADM,20200831,44.76
ADM,20200930,46.49
ADM,20201030,46.24
ADM,20201130,49.77
ADM,20201231,50.41
ADM,20210129,50.01
ADM,20210226,56.58
ADM,20210331,57
ADM,20210430,63.13
